==============================
RADAR INDEX
==============================
RADAR_SCRIPT_VERSION: v0.6.2
RADAR_OUTPUT_SCHEMA : v1.4
OUTPUT_TYPE         : INDEX
GENERATED_AT        : 2026-04-23 16:14:01
ROOT_SCANNED        : C:\01. GitHub\Skills
OUTPUT_PATH         : C:\01. GitHub\Skills\SyS\A_Tools\Radar
OLD_PATH            : C:\01. GitHub\Skills\old\radar
EXCLUDED_PATHS      :
 - C:\01. GitHub\Skills\old
 - C:\01. GitHub\Skills\SyS\A_Tools\Radar
SHA256_ENABLED      : False
CORE_MAX_FILE_SIZE  : 2097152
SEGMENT_MAX_BYTES   : 8388608

00.SKILL.MENU.ACTIVE.txt | 8048 bytes | 2026-04-23T14:43:03 | .txt | text | SHA256: [DISABLED]
01.ARCH.AI_ORCHESTRATION.CORE.txt | 10733 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
02.SKILL.AGENT_EXECUTION_POLICY.txt | 7052 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
03.SKILL.SANDBOX_BOUNDARY.txt | 4951 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
04.SKILL.COST_CONTROL.txt | 5926 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
05.SKILL.ROUTING_POLICY.txt | 6333 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
06.SKILL.WBS.txt | 13449 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
07.SKILL.FILE_CONTENT.txt | 15777 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
08.STANDAR.PROBLEM_TROUBLE_INCIDENTS.txt | 17053 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
09.STANDAR.RADAR.txt | 15372 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
10.STANDAR.BATON.txt | 14125 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
11.STANDAR.HUMAN_README.txt | 10958 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
12.STANDAR.DRAG_AND_DROP.txt | 8106 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
13.STACKS.COST_MONTHLY.txt | 4812 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
14.SIMULATION.PROJECT_100H.txt | 3581 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
15.SKILL.LOGGING_AUDIT.txt | 4747 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
